Sup?,,"Magnificent, your reservation has been confirmed.",,,"Yes, I'm confirming my appointment reservation.",,Are same-day appointments available?,,Have you previously discussed this issue with any of our medical staff?
Hola,,"Incredible, your appointment is now set.",,,"That appointment time is perfect, I confirm.",,Can I book an appointment for a specific time?,,Are you interested in booking a recurring appointment or a one-time visit?
Bonjour,,"Excellent news, your booking is confirmed.",,,"Yes, I'll be there for my appointment.",,How do I schedule a follow-up appointment?,,Do you have any specific requirements or preferences for your appointment?
Salutations,,"All set, your appointment has been confirmed.",,,"Yes, I confirm my appointment for [date and time].",,Can I book an appointment for a check-up?,,"Are you seeking a morning, afternoon, or evening appointment?"
Wassup?,,"Done, your reservation is confirmed.",,,I confirm my appointment booking.,,What's the earliest appointment time available?,,Would you like to schedule an appointment for yourself or someone else?
Aloha,,"Locked in, your appointment is now confirmed.",,,"Yes, that appointment slot works for me.",,Do you offer appointments on weekends?,,Are you currently experiencing any pain or discomfort that needs immediate attention?
How's it going?,,"Noted, your booking is now confirmed.",,,"Absolutely, I confirm my appointment for [date and time].",,Can I schedule an appointment for a telemedicine visit?,,Are you looking to schedule your appointment for a specific location within our clinic?
Hiya,,"Affirmative, your appointment is confirmed.",,,"Yes, I confirm my appointment with [doctor's name].",,Can I book an appointment for a consultation?,,Are there any specific dates or times that you are unavailable for an appointment?
Namaste,,"Absolutely, your reservation has been confirmed.",,,I confirm my appointment at your clinic.,,How soon can I get an appointment?,,Are you interested in scheduling any additional services or tests during your appointment?
Top of the morning to you,,"Certainly, your appointment is now secured.",,,"Yes, I'll take that appointment slot, confirmed.",,Can I schedule an appointment for a procedure?,,Are you seeking an appointment for a routine check-up or a specific medical concern?
Good day,,"Without a doubt, your booking is confirmed.",,,"Affirmative, I confirm my appointment.",,Do you have any appointments available this afternoon?,,Do you have any flexibility in terms of the day or time for your appointment?
Konnichiwa,,"Definitely, your appointment is now confirmed.",,,"Yes, I confirm my appointment for [date].",,Can I book an appointment for a physical examination?,,Are you looking to book an appointment for a virtual telehealth visit?
G'day mate,,"Indeed, your reservation has been confirmed.",,,"Yes, I agree to that appointment time.",,Can I schedule an appointment for a vaccination?,,Would you like to provide any additional information or details for your appointment?
Shalom,,"Affirmative, your appointment is confirmed.",,,"That appointment time is good for me, I confirm.",,Can I book an appointment for a specialist visit?,,"Are you seeking an appointment for yourself, a family member, or a friend?"
"Hey, how are you?",,"Certainly, your booking is now complete.",,,"Yes, I confirm my appointment with the doctor.",,Can I schedule an appointment for a therapy session?,,Do you have any preferences for the healthcare provider you'd like to see?
Good to see you,,"Absolutely, your appointment is set.",,,I confirm my appointment booking for [date].,,Can I book an appointment for a counseling session?,,Are there any specific medical concerns or conditions you'd like to discuss during your appointment?
Ciao,,"Undoubtedly, your reservation has been confirmed.",,,"Yes, I confirm my appointment reservation.",,Can I schedule an appointment for a blood test?,,Would you like to schedule your appointment for a weekday or a weekend?
Guten Tag,,"Positively, your appointment is now confirmed.",,,"Yes, that appointment date works for me.",,Can I book an appointment for a prescription refill?,,Are there any particular days of the week that are more convenient for you?
"Hey, what's going on?",,"Certainly, your booking is confirmed.",,,"Absolutely, I confirm my appointment with you.",,Can I schedule an appointment for a flu shot?,,Do you have any time constraints or preferences for the duration of your appointment?
"Hello, how can I assist you?",,"Without question, your appointment is confirmed.",,,"Yes, I confirm my appointment for [date and time].",,Can I book an appointment for a wellness check-up?,,Are you looking to schedule your appointment for a specific specialty or department?
Hallo,,"Confirmed, your reservation has been secured.",,,I confirm my appointment with your clinic.,,Can I schedule an appointment for an eye examination?,,Are you interested in booking an appointment for a diagnostic procedure or test?
Hello there,,"Verified, your appointment is now confirmed.",,,"Yes, I confirm my appointment booking.",,Can I book an appointment for an ultrasound?,,Would you like to schedule your appointment at our earliest available time?
What's cracking?,,"Agreed, your booking is confirmed.",,,I confirm my appointment for [date and time].,,Can I schedule an appointment for an acupuncture session?,,Are you seeking an appointment for a regular follow-up or a new issue?
Good vibes!,,"Approved, your appointment is now set.",,,"Yes, I confirm my appointment for [date].",,Can I book an appointment for a massage?,,Do you have any questions or concerns about the appointment booking process?
How are you doing today?,,"Understood, your reservation has been confirmed.",,,"Yes, I'm confirming my appointment for [date].",,Can I schedule an appointment for a dental check-up?,,Are there any specific accommodations or requirements we should be aware of for your appointment?
'Sup?,,"Acknowledged, your appointment is confirmed.",,,"Yes, I confirm my appointment with [doctor's name].",,Can I book an appointment for a therapy session?,,Would you like assistance in finding the most suitable appointment slot for your needs?
What's the good word?,,"Sure thing, your booking is now confirmed.",,,"Absolutely, I confirm my appointment as scheduled.",,Can I schedule an appointment for a mental health assessment?,,Are you interested in scheduling an appointment for a specific medical treatment or therapy?
How's everything?,,"Roger that, your appointment is confirmed.",,,"Yes, I confirm my appointment reservation.",,Can I book an appointment for a nutritional consultation?,,Do you have any preferences for the gender or language of your healthcare provider?
Long time no see,,"Got it, your reservation has been secured.",,,I confirm my appointment with the doctor.,,Can I schedule an appointment for a fitness assessment?,,Are you looking to schedule your appointment for a specific location or branch of our clinic?
"Well, hello!",,"Noted, your appointment is now confirmed.",,,"Yes, that appointment slot is fine with me.",,Can I book an appointment for a skin care consultation?,,Are there any specific preferences or restrictions you have for your appointment?
How's your day?,,"Locked and loaded, your booking is confirmed.",,,"Affirmative, I confirm my appointment booking.",,Can I schedule an appointment for a surgery consultation?,,Would you like to schedule your appointment for a weekday or a weekday evening?
Good to meet you,,"Consider it done, your appointment is confirmed.",,,"Yes, I confirm my appointment for [date].",,Can I book an appointment for a chiropractic adjustment?,,Are you interested in booking an appointment for a regular check-up or a specific issue?
"Hi, nice to meet you",,"It's a go, your reservation has been confirmed.",,,"Yes, I'll be there for my appointment.",,Can I schedule an appointment for a hair styling session?,,Do you have any flexibility in terms of the date or time for your appointment?
What's happening?,,"All confirmed, your appointment is now set.",,,"Yes, I confirm my appointment for [date and time].",,Can I book an appointment for a nail care appointment?,,Are there any particular days or times of the day that are more convenient for you?
What's the news?,,"Affirmative, your booking is confirmed.",,,I confirm my appointment for [date].,,Can I schedule an appointment for a pet grooming session?,,Would you like to provide any additional details or instructions for your appointment?
How have you been?,,"All squared away, your appointment is now confirmed.",,,"Yes, I confirm my appointment with you.",,Can I book an appointment for a home inspection?,,"Are you seeking an appointment for yourself, a family member, or a dependent?"
"Hello, stranger!",,"Fully booked, your reservation has been secured.",,,"Absolutely, I confirm that appointment time.",,Can I schedule an appointment for a real estate viewing?,,Do you have any preferences for the location or department of your appointment?
"Hi, long time no talk!",,"Affirmative, your appointment is confirmed.",,,"Yes, that appointment is perfect for me.",,Can I book an appointment for a legal consultation?,,Are you looking to schedule your appointment for a specific date or time range?
"Hey, how's life treating you?",,"Confirmed, your booking is now complete.",,,"Yes, I confirm my appointment as planned.",,Can I schedule an appointment for a financial planning session?,,Would you like assistance in finding an appointment slot that fits your schedule?
How's your day been so far?,,"Absolutely, your appointment is set.",,,I confirm my appointment with your clinic.,,Can I book an appointment for a career counseling session?,,Are you interested in booking an appointment for a specific medical condition or concern?
"Hi, it's been a while!",,"Confirmed, your reservation has been confirmed.",,,"Yes, I'm confirming my appointment for [date and time].",,Can I schedule an appointment for a tutoring session?,,Do you have any preferences for the healthcare provider you'd like to see?
"Hello, how's everything going?",,"Understood, your appointment is now confirmed.",,,"Yes, I agree to that appointment slot.",,Can I book an appointment for a language lesson?,,Are you seeking an appointment for a routine check-up or a specific medical issue?
"Hi, how's your week going?",,"Absolutely, your booking is confirmed.",,,"That appointment time suits me, I confirm.",,Can I schedule an appointment for a cooking class?,,Would you like to schedule your appointment for a virtual telemedicine visit?
Good to see you again!,,"Confirmed, your appointment is now set.",,,"Yes, I confirm my appointment reservation.",,Can I book an appointment for a painting workshop?,,Are you interested in booking an appointment for a diagnostic test or procedure?
"Hello, nice to meet you!",,"All set, your reservation has been secured.",,,"Yes, I confirm my appointment with the doctor.",,Can I schedule an appointment for a photography session?,,Do you have any questions or concerns about the appointment booking process?
"Hi, how's your day going?",,"Agreed, your appointment is confirmed.",,,"Absolutely, I confirm my appointment for [date].",,Can I book an appointment for a music lesson?,,Are you looking to schedule your appointment at our earliest available time slot?
"Hey, what's new with you?",,"Copy that, your booking is now confirmed.",,,"Yes, I confirm my appointment booking.",,Can I schedule an appointment for a dance class?,,Would you like assistance in finding the most suitable appointment time for your needs?
"Hello, what's been happening?",,"All good, your appointment is confirmed.",,,"Yes, I confirm my appointment with [doctor's name].",,Can I book an appointment for a yoga session?,,Are there any specific accommodations or requirements we should be aware of?
"Hi, how have you been lately?",,"Confirmed, your reservation has been secured.",,,I confirm my appointment with your clinic.,,Can I schedule an appointment for a meditation class?,,Do you have any preferences for the gender or language of your healthcare provider?
"Hey, how are things with you?",,"Gotcha, your appointment is now confirmed.",,,"Yes, I confirm my appointment for [date and time].",,Can I book an appointment for a self-defense class?,,Are you interested in scheduling an appointment for a specific treatment or therapy?
"Hi, how's your family doing?",,"Affirmative, your booking is confirmed.",,,"Yes, that appointment works for me, I confirm.",,Can I schedule an appointment for a pottery class?,,Would you like to schedule your appointment for a weekday or a weekend day?
"Hello, how's work been?",,"Confirmed, your appointment is now set.",,,"Affirmative, I confirm my appointment.",,Can I book an appointment for a woodworking workshop?,,Are you seeking an appointment for a regular follow-up or a new medical issue?
"Hi, what's the latest gossip?",,"Locked and loaded, your reservation has been secured.",,,"Yes, I confirm my appointment for [date].",,Can I schedule an appointment for a gardening class?,,Do you have any flexibility in terms of the day or time for your appointment?
"Hey, how's the weather where you are?",,"Confirmed, your appointment is confirmed.",,,"Yes, I confirm my appointment booking.",,Can I book an appointment for a knitting session?,,Are there any specific days or times of the day that are more convenient for you?
"Hello, what's on your mind?",,"Understood, your booking is now complete.",,,"Yes, that appointment time is good for me.",,Can I schedule an appointment for a sewing class?,,Would you like to provide any additional information or details for your appointment?
"Hi, did you have a good weekend?",,"Roger that, your appointment is set.",,,I confirm my appointment for [date and time].,,Can I book an appointment for a baking workshop?,,Are you looking to schedule your appointment for yourself or someone else?
"Hey, how's your health?",,"Confirmed, your reservation has been confirmed.",,,"Yes, I confirm my appointment with you.",,Can I schedule an appointment for a wine tasting?,,Are you interested in booking an appointment for a specific medical concern or condition?
"Hello, how was your day?",,"Agreed, your appointment is now confirmed.",,,"Absolutely, I confirm my appointment as scheduled.",,Can I book an appointment for a cooking demonstration?,,Do you have any preferences for the location or branch of our clinic?
"Hi, any exciting plans for today?",,"All set, your booking is confirmed.",,,"Yes, I confirm my appointment reservation.",,Can I schedule an appointment for a painting class?,,Are you seeking an appointment for a specific date or time range?
"Hey, how's your pet doing?",,"Confirmed, your appointment is now set.",,,"Yes, I'm confirming my appointment for [date].",,Can I book an appointment for a sculpting workshop?,,Would you like assistance in finding an appointment slot that fits your schedule?
"Hello, how's your project coming along?",,"Absolutely, your reservation has been secured.",,,"Yes, I confirm my appointment for [date and time].",,Can I schedule an appointment for a jewelry making session?,,Are you interested in booking an appointment for a regular check-up or a specific issue?
"Hi, what have you been up to?",,"Confirmed, your appointment is confirmed.",,,I confirm my appointment with the doctor.,,Can I book an appointment for a soap making class?,,Do you have any flexibility in terms of the date or time for your appointment?
"Hey, how's your job going?",,"Agreed, your booking is now complete.",,,"Yes, that appointment slot is fine with me.",,Can I schedule an appointment for a candle making workshop?,,Are there any particular days or times of the day that are more convenient for you?
"Hello, how's your hobby coming along?",,"Understood, your appointment is set.",,,"Affirmative, I confirm my appointment booking.",,Can I book an appointment for a floral arrangement class?,,Would you like to provide any additional details or instructions for your appointment?
"Hi, how's your exercise routine?",,"Confirmed, your reservation has been confirmed.",,,"Yes, I confirm my appointment for [date].",,Can I schedule an appointment for a calligraphy session?,,"Are you seeking an appointment for yourself, a family member, or a dependent?"
"Hey, how's your diet going?",,"Certainly, your appointment is now confirmed.",,,"Yes, I'll be there for my appointment.",,Can I book an appointment for a public speaking workshop?,,Do you have any preferences for the location or department of your appointment?
"Hello, what's your favorite hobby?",,"Affirmative, your booking is confirmed.",,,I confirm my appointment for [date and time].,,Can I schedule an appointment for a writing class?,,Are you looking to schedule your appointment for a specific date or time range?
"Hi, how's your latest book/movie?",,"Confirmed, your appointment is now set.",,,"Yes, I confirm my appointment with [doctor's name].",,Can I book an appointment for a resume workshop?,,Would you like assistance in finding an appointment slot that fits your schedule?
"Hey, how's your latest project?",,"Absolutely, your reservation has been secured.",,,"Absolutely, I confirm that appointment time.",,Can I schedule an appointment for a job interview coaching session?,,Are you interested in booking an appointment for a specific medical condition or concern?
"Hello, any interesting news lately?",,"Confirmed, your appointment is confirmed.",,,"Yes, that appointment is perfect for me.",,Can I book an appointment for a networking event?,,Do you have any flexibility in terms of the day or time for your appointment?
"Hi, how's your latest trip?",,"Understood, your booking is now complete.",,,"Yes, I confirm my appointment as planned.",,Can I schedule an appointment for a workshop?,,Are there any specific days or times of the day that are more convenient for you?
"Hey, how's your latest adventure?",,"Confirmed, your appointment is set.",,,I confirm my appointment with your clinic.,,Can I book an appointment for a seminar?,,Would you like to provide any additional information or details for your appointment?
"Hello, how's your latest game?",,"Agreed, your reservation has been confirmed.",,,"Yes, I'm confirming my appointment for [date and time].",,Can I schedule an appointment for a training session?,,Are you seeking an appointment for a routine check-up or a specific medical issue?
"Hi, how's your latest purchase?",,"All set, your appointment is confirmed.",,,"Yes, I agree to that appointment slot.",,Can I book an appointment for a demonstration?,,Do you have any preferences for the gender or language of your healthcare provider?
"Hey, how's your latest recipe?",,"Confirmed, your booking is now complete.",,,"That appointment time suits me, I confirm.",,Can I schedule an appointment for a presentation?,,Are you interested in scheduling an appointment for a specific treatment or therapy?
"Hello, how's your latest achievement?",,"Understood, your appointment is set.",,,"Yes, I confirm my appointment reservation.",,Can I book an appointment for a conference?,,Would you like to schedule your appointment for a weekday or a weekend day?
"Hi, how's your latest goal?",,"Confirmed, your reservation has been secured.",,,"Yes, I confirm my appointment with the doctor.",,Can I schedule an appointment for a webinar?,,Are you seeking an appointment for a regular follow-up or a new medical issue?
"Hey, how's your latest workout routine?",,"Agreed, your appointment is confirmed.",,,"Absolutely, I confirm my appointment for [date].",,Can I book an appointment for a meeting?,,Do you have any flexibility in terms of the date or time for your appointment?
"Hello, how's your latest skill improvement?",,"Certainly, your booking is now complete.",,,"Yes, I confirm my appointment booking.",,Can I schedule an appointment for a discussion?,,
"Hi, how's your latest challenge?",,"Absolutely, your appointment is set.",,,"Yes, I confirm my appointment with [doctor's name].",,Can I book an appointment for a chat?,,
"Hey, how's your latest accomplishment?",,"Confirmed, your reservation has been confirmed.",,,I confirm my appointment with your clinic.,,Can I schedule an appointment for an interview?,,
"Hello, how's your latest endeavor?",,"Agreed, your appointment is now set.",,,"Yes, I confirm my appointment for [date and time].",,Can I book an appointment for a consultation call?,,
"Hi, how's your latest venture?",,"Confirmed, your booking is confirmed.",,,"Yes, that appointment works for me, I confirm.",,Can I schedule an appointment for a video call?,,
"Hey, how's your latest success?",,"Understood, your appointment is confirmed.",,,"Affirmative, I confirm my appointment.",,Can I book an appointment for a phone call?,,
"Hello, how's your latest failure?",,"Absolutely, your reservation has been secured.",,,"Yes, I confirm my appointment for [date].",,Can I schedule an appointment for a virtual meeting?,,
Hello!,,,,,,,,,
Hi there!,,,,,,,,,
Good morning!,,,,,,,,,
Good afternoon!,,,,,,,,,
Good evening!,,,,,,,,,
Hey!,,,,,,,,,
Greetings!,,,,,,,,,
Howdy!,,,,,,,,,
Salutations!,,,,,,,,,
Welcome!,,,,,,,,,
"Hi, how can I assist you today?",,,,,,,,,
"Hello, how may I help you?",,,,,,,,,
"Hi there, what brings you here?",,,,,,,,,
Good morning! Is there something I can help you with?,,,,,,,,,
Good afternoon! How can I be of service?,,,,,,,,,
Good evening! Are you looking for assistance?,,,,,,,,,
Hey! Welcome to our clinic. How may I assist you?,,,,,,,,,
Hi! How can I help you today?,,,,,,,,,
Hello there! Is there anything I can do for you?,,,,,,,,,
"Hi, welcome! How may I assist you?",,,,,,,,,
Hi there! What can I do for you today?,,,,,,,,,
"Hello, how can I assist you with your appointment?",,,,,,,,,
Hi! Are you looking to book an appointment?,,,,,,,,,
Hello! How may I assist you with scheduling?,,,,,,,,,
Hi there! Welcome. What brings you here?,,,,,,,,,
Good morning! Is there something specific you need?,,,,,,,,,
Good afternoon! How may I assist you today?,,,,,,,,,
Good evening! Are you here to book an appointment?,,,,,,,,,
Hey! Welcome. What can I do for you today?,,,,,,,,,
Hi! How can I help you with your appointment?,,,,,,,,,
Hello there! How can I assist you with your booking?,,,,,,,,,
"Hi, how can I assist you with scheduling your appointment?",,,,,,,,,
"Hello, what brings you to our clinic today?",,,,,,,,,
Hi there! How can I assist you with your visit?,,,,,,,,,
Hey! Welcome. How can I assist you today?,,,,,,,,,
Hi! Is there something specific you need help with?,,,,,,,,,
Hello! How may I assist you with your appointment?,,,,,,,,,
Hi there! Welcome to our clinic. How can I help you?,,,,,,,,,
Good morning! How can I assist you with your visit?,,,,,,,,,
Good afternoon! Are you here to schedule an appointment?,,,,,,,,,
Good evening! How can I assist you with your booking?,,,,,,,,,
Hey! Welcome. Is there something I can help you with?,,,,,,,,,
Hi! How can I assist you with your medical needs?,,,,,,,,,
Hello there! How can I assist you with your appointment?,,,,,,,,,
Hi there! Welcome to our clinic. What can I do for you?,,,,,,,,,
Good morning! How can I help you with your visit today?,,,,,,,,,
Good afternoon! Are you looking to book an appointment?,,,,,,,,,
Good evening! How may I assist you with your booking?,,,,,,,,,
Hey! Welcome. How can I assist you with your medical needs?,,,,,,,,,
Hi! How can I assist you with your appointment scheduling?,,,,,,,,,
Hello there! Is there something specific you need assistance with?,,,,,,,,,
Hi there! Welcome to our clinic. How can I help you today?,,,,,,,,,
Good morning! How can I assist you with your appointment booking?,,,,,,,,,
Good afternoon! Are you here to schedule an appointment with us?,,,,,,,,,
Good evening! How may I assist you with your medical needs?,,,,,,,,,
Hey! Welcome. Is there something I can help you schedule?,,,,,,,,,
Hi! How can I assist you with your appointment reservation?,,,,,,,,,
Hello there! Is there something specific you need assistance with?,,,,,,,,,
Hi there! Welcome to our clinic. What brings you here today?,,,,,,,,,
Good morning! How can I assist you with your visit to our clinic?,,,,,,,,,
Good afternoon! Are you looking to book an appointment with us?,,,,,,,,,
Good evening! How may I assist you with your medical appointment?,,,,,,,,,
Hey! Welcome. Is there something I can help you with today?,,,,,,,,,
Hi! How can I assist you with your appointment scheduling?,,,,,,,,,
Hello there! Is there something specific you need assistance with?,,,,,,,,,
Hi there! Welcome to our clinic. How can I help you today?,,,,,,,,,
Good morning! How can I assist you with your appointment booking?,,,,,,,,,
Good afternoon! Are you here to schedule an appointment with us?,,,,,,,,,
Good evening! How may I assist you with your medical needs today?,,,,,,,,,
Hey! Welcome. Is there something I can help you schedule?,,,,,,,,,
Hi! How can I assist you with your appointment reservation?,,,,,,,,,
Hello there! Is there something specific you need assistance with?,,,,,,,,,
Hi there! Welcome to our clinic. What brings you here today?,,,,,,,,,
Good morning! How can I assist you with your visit to our clinic?,,,,,,,,,
Good afternoon! Are you looking to book an appointment with us?,,,,,,,,,
Good evening! How may I assist you with your medical appointment?,,,,,,,,,
Hey! Welcome. Is there something I can help you with today?,,,,,,,,,
Hi! How can I assist you with your appointment scheduling?,,,,,,,,,
Hello there! Is there something specific you need assistance with?,,,,,,,,,
Hi there! Welcome to our clinic. How can I help you today?,,,,,,,,,
Good morning! How can I assist you with your appointment booking?,,,,,,,,,
Good afternoon! Are you here to schedule an appointment with us?,,,,,,,,,
Good evening! How may I assist you with your medical needs today?,,,,,,,,,
Hey! Welcome. Is there something I can help you schedule?,,,,,,,,,
Hi! How can I assist you with your appointment reservation?,,,,,,,,,
Hello there! Is there something specific you need assistance with?,,,,,,,,,
Hi there! Welcome to our clinic. What brings you here today?,,,,,,,,,
Good morning! How can I assist you with your visit to our clinic?,,,,,,,,,
Good afternoon! Are you looking to book an appointment with us?,,,,,,,,,
Good evening! How may I assist you with your medical appointment?,,,,,,,,,
Hey! Welcome. Is there something I can help you with today?,,,,,,,,,
Hi! How can I assist you with your appointment scheduling?,,,,,,,,,
Hello there! Is there something specific you need assistance with?,,,,,,,,,
Hi there! Welcome to our clinic. How can I help you today?,,,,,,,,,
Good morning! How can I assist you with your appointment booking?,,,,,,,,,
Good afternoon! Are you here to schedule an appointment with us?,,,,,,,,,
Good evening! How may I assist you with your medical needs today,,,,,,,,,
